Mandal,Index,% Hindu,% Muslims,% Gen Population,% SC Population,% ST Population,% SC ST Population,% Telugu & Urdu,%Others
Tirumalgiri mandal,6.122764286,78.78849066,12.18668258,85.94,13.08,0.98,14.06,71.6701699,28.3298301
Maredpally mandal,7.061939571,77.91668116,11.72931808,83.38,14.87,1.75,16.62,85.07036213,14.92963787
Secunderabad mandal,6.939411143,75.45763463,15.92080963,89.3,10.16,0.54,10.7,76.53729094,23.46270906
Khairatabad mandal,7.082063429,68.14451794,25.85478195,92.03,6.78,1.19,7.97,89.18101288,10.81898712
Shaikpet mandal,5.846468714,66.88305995,28.47823315,91.34,7.01,1.65,8.66,89.58953573,10.41046427
Golkonda mandal,6.615195857,33.56971114,62.62543413,95.53,4.03,0.44,4.47,91.01983043,8.980169573
Asifnagar mandal,6.426841286,44.11017821,52.71228255,93.26,6.09,0.65,6.74,83.44040504,16.55959496
Nampally mandal,6.047302,71.06316468,20.55043352,93.16,6.48,0.36,6.84,52.79282704,47.20717296
Himayatnagar mandal,7.581271714,74.19536933,17.40482316,92.86,6.56,0.58,7.14,68.65971367,31.34028633
Amberpet mandal,7.569729,76.55348468,20.38968989,92.11,6.67,1.22,7.89,92.27588273,7.724117272
Charminar mandal,7.449533286,9.233819036,89.09442158,98.12,1.49,0.39,1.88,96.76464894,3.235351061
Saidabad mandal,7.220686286,46.94205171,50.48998907,92.44,5.88,1.68,7.56,94.52508085,5.474919155
Bandlaguda mandal,6.648496429,32.34653672,65.02318341,93.98,4.27,1.75,6.02,93.85480613,6.145193871
Bahadurpura mandal,6.318090571,17.62311015,80.25687909,96.18,1.58,2.24,3.82,91.02076649,8.979233507
Musheerabad mandal,7.149814571,75.14610721,19.36865587,90.38,8.6,1.02,9.62,92.25064034,7.749359658
Ameerpet mandal,8.14016,86.45505333,6.136786863,90.26,6.12,3.62,9.74,81.91637041,18.08362959